"Mid","Aid"
"8058","77147"
"7354","77147"
"2231","77147"
"2663","77147"
"1564","77147"
"2309","77147"
"3441","77155"
"3441","40293"
"3441","72644"
"3441","50287"
"3441","33412"
"3441","43446"
"3441","29484"
"3441","15861"
"3441","97530"
"9390","97530"
"6433","40672"
"9707","40672"
"6826","40672"
"8761","40672"
"8143","40672"
"6153","40672"
"3230","40672"
"4960","40672"
"7790","40672"
"5995","40672"
"6433","67812"
"2715","67812"
"4687","67812"
"6433","20684"
"4463","20684"
"8916","20684"
"9436","20684"
"6433","92333"
"9421","92333"
"6433","85978"
"2322","85978"
"4687","85978"
"1912","85978"
"4960","85978"
"3331","85978"
"3111","85978"
"2738","85978"
"6433","12920"
"6433","62493"
"9953","62493"
"4014","62493"
"6433","88507"
"4471","88507"
"6433","34923"
"3319","24454"
"5478","24454"
"4803","24454"
"3780","59299"
"5064","59299"
"1874","59299"
"7380","59299"
"8799","59299"
"2721","59299"
"6640","59299"
"6909","59299"
"6005","59299"
"9048","59299"
"1633","59299"
"4850","59299"
"3053","59299"
"9306","59299"
"3780","48229"
"2510","48229"
"3780","33748"
"6303","33748"
"3780","15030"
"7566","15030"
"7256","15030"
"7527","15030"
"3780","93928"
"9805","93928"
"3780","62588"
"3780","88466"
"3780","65443"
"3780","18712"
"3780","15012"
"3465","71948"
"4035","71948"
"5681","40808"
"2031","40808"
"9825","40808"
"4137","40808"
"8689","40808"
"5270","40808"
"6822","40808"
"5681","38826"
"3797","38826"
"1547","38826"
"8799","38826"
"6739","38826"
"2167","38826"
"9039","38826"
"4810","38826"
"5681","79115"
"1954","79115"
"4137","79115"
"5234","79115"
"5681","20058"
"5151","20058"
"1963","20058"
"7061","20058"
"7790","20058"
"2722","20058"
"4904","20058"
"6765","20058"
"5681","32144"
"5681","58736"
"4068","58736"
"9477","58736"
"5282","58736"
"5681","39791"
"5681","70898"
"7102","98870"
"7241","98870"
"7438","98870"
"8401","98870"
"4050","98870"
"7102","80795"
"7241","80795"
"7438","80795"
"8455","80795"
"8401","80795"
"1805","80795"
"7102","42347"
"7438","42347"
"8401","42347"
"7102","44990"
"7241","44990"
"8455","44990"
"1805","44990"
"8455","52571"
"4365","36243"
"4365","62651"
"4365","84644"
"4365","70800"
"4365","51434"
"4365","98725"
"4365","83789"
"4365","89866"
"4365","83865"
"4365","85826"
"1718","39278"
"1718","42431"
"9909","42431"
"2341","42431"
"1718","10523"
"3923","10523"
"1718","61370"
"3231","61370"
"9436","61370"
"1718","58518"
"5984","58518"
"9945","58518"
"1718","30640"
"6159","30640"
"9305","30640"
"9826","93277"
"5829","93277"
"7001","93277"
"8204","93277"
